date_key,full_date,day,month,month_name,quarter,year,week_of_year,day_of_week,is_weekend
162,11-06-2021,11,6,June,2,2021,23,Friday,FALSE
163,12-06-2021,12,6,June,2,2021,23,Saturday,TRUE
164,13-06-2021,13,6,June,2,2021,23,Sunday,TRUE
165,14-06-2021,14,6,June,2,2021,24,Monday,FALSE
166,15-06-2021,15,6,June,2,2021,24,Tuesday,FALSE
167,16-06-2021,16,6,June,2,2021,24,Wednesday,FALSE
168,17-06-2021,17,6,June,2,2021,24,Thursday,FALSE
169,18-06-2021,18,6,June,2,2021,24,Friday,FALSE
170,19-06-2021,19,6,June,2,2021,24,Saturday,TRUE
171,20-06-2021,20,6,June,2,2021,24,Sunday,TRUE
172,21-06-2021,21,6,June,2,2021,25,Monday,FALSE
173,22-06-2021,22,6,June,2,2021,25,Tuesday,FALSE
174,23-06-2021,23,6,June,2,2021,25,Wednesday,FALSE
175,24-06-2021,24,6,June,2,2021,25,Thursday,FALSE
176,25-06-2021,25,6,June,2,2021,25,Friday,FALSE
177,26-06-2021,26,6,June,2,2021,25,Saturday,TRUE
178,27-06-2021,27,6,June,2,2021,25,Sunday,TRUE
179,28-06-2021,28,6,June,2,2021,26,Monday,FALSE
180,29-06-2021,29,6,June,2,2021,26,Tuesday,FALSE
181,30-06-2021,30,6,June,2,2021,26,Wednesday,FALSE
182,01-07-2021,1,7,July,3,2021,26,Thursday,FALSE
183,02-07-2021,2,7,July,3,2021,26,Friday,FALSE
184,03-07-2021,3,7,July,3,2021,26,Saturday,TRUE
185,04-07-2021,4,7,July,3,2021,26,Sunday,TRUE
186,05-07-2021,5,7,July,3,2021,27,Monday,FALSE
187,06-07-2021,6,7,July,3,2021,27,Tuesday,FALSE
188,07-07-2021,7,7,July,3,2021,27,Wednesday,FALSE
189,08-07-2021,8,7,July,3,2021,27,Thursday,FALSE
190,09-07-2021,9,7,July,3,2021,27,Friday,FALSE
191,10-07-2021,10,7,July,3,2021,27,Saturday,TRUE
192,11-07-2021,11,7,July,3,2021,27,Sunday,TRUE
193,12-07-2021,12,7,July,3,2021,28,Monday,FALSE
194,13-07-2021,13,7,July,3,2021,28,Tuesday,FALSE
195,14-07-2021,14,7,July,3,2021,28,Wednesday,FALSE
196,15-07-2021,15,7,July,3,2021,28,Thursday,FALSE
197,16-07-2021,16,7,July,3,2021,28,Friday,FALSE
198,17-07-2021,17,7,July,3,2021,28,Saturday,TRUE
199,18-07-2021,18,7,July,3,2021,28,Sunday,TRUE
200,19-07-2021,19,7,July,3,2021,29,Monday,FALSE
201,20-07-2021,20,7,July,3,2021,29,Tuesday,FALSE
202,21-07-2021,21,7,July,3,2021,29,Wednesday,FALSE
203,22-07-2021,22,7,July,3,2021,29,Thursday,FALSE
204,23-07-2021,23,7,July,3,2021,29,Friday,FALSE
205,24-07-2021,24,7,July,3,2021,29,Saturday,TRUE
206,25-07-2021,25,7,July,3,2021,29,Sunday,TRUE
207,26-07-2021,26,7,July,3,2021,30,Monday,FALSE
208,27-07-2021,27,7,July,3,2021,30,Tuesday,FALSE
209,28-07-2021,28,7,July,3,2021,30,Wednesday,FALSE
210,29-07-2021,29,7,July,3,2021,30,Thursday,FALSE
211,30-07-2021,30,7,July,3,2021,30,Friday,FALSE
